#authorList	title	journal	year	volume	pages	pmid	inhouse	hpo	monarch	topic.list
Hayeems RZ, Bhawra J, Tsiplova K, Meyn MS, Monfared N, Bowdin S, Stavropoulos DJ, Marshall CR, Basran R, Shuman C, Ito S, Cohn I, Hum C, Girdea M, Brudno M, Cohn RD, Scherer SW, Ungar WJ	Care and cost consequences of pediatric whole genome sequencing compared to chromosome microarray	Eur J Hum Genet	2017	25(12)	1303-1312	29158552	F	T	F	review
Türkmen S, Spielmann M, Güneş N, Knaus A, Flöttmann R, Mundlos S, Tüysüz B	A Novel de novo FZD2 Mutation in a Patient with Autosomal Dominant Omodysplasia	Mol Syndromol	2017	8(6)	318-324	29230162	F	T	F	clinical.use
Rodríguez-García MÁ, Gkoutos GV, Schofield PN, Hoehndorf R	Integrating phenotype ontologies with PhenomeNET	J Biomed Semantics	2017	8(1)	58	29258588	F	T	F	systems.bio.algorithm;cross.species
Riddell N, Faou P, Murphy M, Giummarra L, Downs RA, Rajapaksha H, Crewther SG	The retina/RPE proteome in chick myopia and hyperopia models: Commonalities with inherited and age-related ocular pathologies	Mol Vis	2017	23	872-888	29259393	F	T	F	cross.species
Dodd S, Clarke M, Becker L, Mavergames C, Fish R, Williamson PR	A taxonomy has been developed for outcomes in medical research to help improve knowledge discovery	J Clin Epidemiol	2018	96	84-92	29288712	F	T	F	review
Dhombres F, Bodenreider O	Trends in Fetal Medicine: A 10-Year Bibliometric Analysis of Prenatal Diagnosis	Stud Health Technol Inform	2017	245	853-857	29295220	F	T	F	review
Raje S, Bodenreider O	Interoperability of Disease Concepts in Clinical and Research Ontologies: Contrasting Coverage and Structure in the Disease Ontology and SNOMED CT	Stud Health Technol Inform	2017	245	925-929	29295235	F	T	F	review
Peng J, Li Q, Shang X	Investigations on factors influencing HPO-based semantic similarity calculation	J Biomed Semantics	2017	8(Suppl 1)	34	29297376	F	T	F	review
Knaus A, Pantel JT, Pendziwiat M, Hajjir N, Zhao M, Hsieh TC, Schubach M, Gurovich Y, Fleischer N, Jäger M, Köhler S, Muhle H, Korff C, Møller RS, Bayat A, Calvas P, Chassaing N, Warren H, Skinner S, Louie R, Evers C, Bohn M, Christen HJ, van den Born M, Obersztyn E, Charzewska A, Endziniene M, Kortüm F, Brown N, Robinson PN, Schelhaas HJ, Weber Y, Helbig I, Mundlos S, Horn D, Krawitz PM	Characterization of glycosylphosphatidylinositol biosynthesis defects by clinical features, flow cytometry, and automated image analysis	Genome Med	2018	10(1)	3	29310717	T	T	F	clinical.use
Faria D, Pesquita C, Mott I, Martins C, Couto FM, Cruz IF	Tackling the challenges of matching biomedical ontologies	J Biomed Semantics	2018	9(1)	4	29335022	F	T	F	review
Cheng L, Jiang Y, Ju H, Sun J, Peng J, Zhou M, Hu Y	InfAcrOnt: calculating cross-ontology term similarities using information flow by a random walk	BMC Genomics	2018	19(Suppl 1)	919	29363423	F	T	F	systems.bio.algorithm
Adler A, Kirchmeier P, Reinhard J, Brauner B, Dunger I, Fobo G, Frishman G, Montrone C, Mewes HW, Arnold M, Ruepp A	PhenoDis: a comprehensive database for phenotypic characterization of rare cardiac diseases	Orphanet J Rare Dis	2018	13(1)	22	29370821	F	T	F	resource
Valizadeh R, Bahadorimonfared A, Rezaei-Tavirani M, Norouzinia M, Ehsani Ardakani MI	Evaluation of involved proteins in colon adenocarcinoma: an interactome analysis	Gastroenterol Hepatol Bed Bench	2017	10(Suppl1)	S129-S138	29511483	F	T	F	systems.bio.algorithm
Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma'ayan A	Massive mining of publicly available RNA-seq data from human and mouse	Nat Commun	2018	9(1)	1366	29636450	F	T	F	systems.bio.algorithm
Peng J, Hui W, Shang X	Measuring phenotype-phenotype similarity through the interactome	BMC Bioinformatics	2018	19(Suppl 5)	114	29671400	F	T	F	systems.bio.algorithm
Neri G, Schwartz CE, Lubs HA, Stevenson RE	X-linked intellectual disability update 2017	Am J Med Genet A	2018	176(6)	1375-1388	29696803	F	T	F	review
Gong X, Jiang J, Duan Z, Lu H	A new method to measure the semantic similarity from query phenotypic abnormalities to diseases based on the human phenotype ontology	BMC Bioinformatics	2018	19(Suppl 4)	162	29745853	F	T	F	phenogeno.algorithm
Shen F, Liu S, Wang Y, Wang L, Afzal N, Liu H	Leveraging Collaborative Filtering to Accelerate Rare Disease Diagnosis	AMIA Annu Symp Proc	2018	2017	1554-1563	29854225	F	T	F	review
Son JH, Xie G, Yuan C, Ena L, Li Z, Goldstein A, Huang L, Wang L, Shen F, Liu H, Mehl K, Groopman EE, Marasa M, Kiryluk K, Gharavi AG, Chung WK, Hripcsak G, Friedman C, Weng C, Wang K	Deep Phenotyping on Electronic Health Records Facilitates Genetic Diagnosis by Clinical Exomes	Am J Hum Genet	2018	103(1)	58-73	29961570	F	T	F	phenogeno.algorithm
Doğan T	HPO2GO: prediction of human phenotype ontology term associations for proteins using cross ontology annotation co-occurrences	PeerJ	2018	6	e5298	30083448	F	T	F	systems.bio.algorithm
Fuentes R, Letelier J, Tajer B, Valdivia LE, Mullins MC	Fishing forward and reverse: Advances in zebrafish phenomics	Mech Dev	2018	154	296-308	30130581	F	T	F	systems.bio.algorithm;cross.species
Haghighi A, Krier JB, Toth-Petroczy A, Cassa CA, Frank NY, Carmichael N, Fieg E, Bjonnes A, Mohanty A, Briere LC, Lincoln S, Lucia S, Gupta VA, Söylemez O, Sutti S, Kooshesh K, Qiu H, Fay CJ, Perroni V, Valerius J, Hanna M, Frank A, Ouahed J, Snapper SB, Pantazi A, Chopra SS, Leshchiner I, Stitziel NO, Feldweg A, Mannstadt M, Loscalzo J, Sweetser DA, Liao E, Stoler JM, Nowak CB, Sanchez-Lara PA, Klein OD, Perry H, Patsopoulos NA, Raychaudhuri S, Goessling W, Green RC, Seidman CE, MacRae CA, Sunyaev SR, Maas RL, Vuzman D; Undiagnosed Diseases Network, Brigham and Women’s Hospital FaceBase Project, Brigham Genomic Medicine (BGM)	An integrated clinical program and crowdsourcing strategy for genomic sequencing and Mendelian disease gene discovery	NPJ Genom Med	2018	3	21	30131872	F	T	F	resource
Lázaro-Guevara JM, Flores-Robles BJ, Garrido K, Pinillos-Aransay V, Elena-Ibáñez A, Merino-Meléndez L, López-Martínez JA, Victoriano-Lacalle R	Gene's hubs in retinal diseases: A retinal disease network	Heliyon	2018	4(10)	e00867	30417144	F	T	F	systems.bio.algorithm
Kulmanov M, Schofield PN, Gkoutos GV, Hoehndorf R	Ontology-based validation and identification of regulatory phenotypes	Bioinformatics	2018	34(17)	i857-i865	30423068	F	T	F	systems.bio.algorithm
Starlinger J, Pallarz S, Ševa J, Rieke D, Sers C, Keilholz U, Leser U	Variant information systems for precision oncology	BMC Med Inform Decis Mak	2018	18(1)	107	30463544	F	T	F	resource
Köhler S, Carmody L, Vasilevsky N, Jacobsen JOB, Danis D, Gourdine JP, Gargano M, Harris NL, Matentzoglu N, McMurry JA, Osumi-Sutherland D, Cipriani V, Balhoff JP, Conlin T, Blau H, Baynam G, Palmer R, Gratian D, Dawkins H, Segal M, Jansen AC, Muaz A, Chang WH, Bergerson J, Laulederkind SJF, Yüksel Z, Beltran S, Freeman AF, Sergouniotis PI, Durkin D, Storm AL, Hanauer M, Brudno M, Bello SM, Sincan M, Rageth K, Wheeler MT, Oegema R, Lourghi H, Della Rocca MG, Thompson R, Castellanos F, Priest J, Cunningham-Rundles C, Hegde A, Lovering RC, Hajek C, Olry A, Notarangelo L, Similuk M, Zhang XA, Gómez-Andrés D, Lochmüller H, Dollfus H, Rosenzweig S, Marwaha S, Rath A, Sullivan K, Smith C, Milner JD, Leroux D, Boerkoel CF, Klion A, Carter MC, Groza T, Smedley D, Haendel MA, Mungall C, Robinson PN	Expansion of the Human Phenotype Ontology (HPO) knowledge base and resources	Nucleic Acids Res	2019	47(D1)	D1018-D1027	30476213	T	T	T	resource
Jia J, Wang R, An Z, Guo Y, Ni X, Shi T	RDAD: A Machine Learning System to Support Phenotype-Based Rare Disease Diagnosis	Front Genet	2018	9	587	30564269	F	T	F	phenogeno.algorithm
Dozmorov MG	Reforming disease classification system-are we there yet? Ann Transl Med	2018 Nov;6(Suppl 1):S30	2103	PubMed Central PMCID	 PMC6291543	30613605	F	T	F	review
Chen Y, Xu R	Context-sensitive network analysis identifies food metabolites associated with Alzheimer's disease: an exploratory study	BMC Med Genomics	2019	12(Suppl 1)	17	30704467	F	T	F	systems.bio.algorithm
Boudellioua I, Kulmanov M, Schofield PN, Gkoutos GV, Hoehndorf R	DeepPVP: phenotype-based prioritization of causative variants using deep learning	BMC Bioinformatics	2019	20(1)	65	30727941	F	T	F	phenogeno.algorithm
Masuya H, Makita Y, Kobayashi N, Nishikata K, Yoshida Y, Mochizuki Y, Doi K, Takatsuki T, Waki K, Tanaka N, Ishii M, Matsushima A, Takahashi S, Hijikata A, Kozaki K, Furuichi T, Kawaji H, Wakana S, Nakamura Y, Yoshiki A, Murata T, Fukami-Kobayashi K, Mohan S, Ohara O, Hayashizaki Y, Mizoguchi R, Obata Y, Toyoda T	The RIKEN integrated database of mammals	Nucleic Acids Res	2011	39(Database issue)	D861-70	21076152	F	T	F	resource
Rödelsperger C, Guo G, Kolanczyk M, Pletschacher A, Köhler S, Bauer S, Schulz MH, Robinson PN	Integrative analysis of genomic, functional and protein interaction data predicts long-range enhancer-target gene interactions	Nucleic Acids Res	2011	39(7)	2492-502	21109530	T	T	F	clinical.use;systems.bio.algorithm
Couto FM, Silva MJ	Disjunctive shared information between ontology concepts: application to Gene Ontology	J Biomed Semantics	2011	2	5	21884591	F	T	F	systems.bio.algorithm;review
Rehm HL	Disease-targeted sequencing: a cornerstone in the clinic	Nat Rev Genet	2013	14(4)	295-300	23478348	F	T	F	systems.bio.algorithm;review
Solomon BD, Baker LA, Bear KA, Cunningham BK, Giampietro PF, Hadigan C, Hadley DW, Harrison S, Levitt MA, Niforatos N, Paul SM, Raggio C, Reutter H, Warren-Mora N	An approach to the identification of anomalies and etiologies in neonates with identified or suspected VACTERL (vertebral defects, anal atresia, tracheo-esophageal fistula with esophageal atresia, cardiac anomalies, renal anomalies, and limb anomalies) association	J Pediatr	2014	164(3)	451-7	24332453	F	T	F	clinical.use
Frey LJ, Lenert L, Lopez-Campos G	EHR Big Data Deep Phenotyping	Contribution of the IMIA Genomic Medicine Working Group	2014	9	206-11	25123744	F	T	F	review
Soden SE, Saunders CJ, Willig LK, Farrow EG, Smith LD, Petrikin JE, LePichon JB, Miller NA, Thiffault I, Dinwiddie DL, Twist G, Noll A, Heese BA, Zellmer L, Atherton AM, Abdelmoity AT, Safina N, Nyp SS, Zuccarelli B, Larson IA, Modrcin A, Herd S, Creed M, Ye Z, Yuan X, Brodsky RA, Kingsmore SF	Effectiveness of exome and genome sequencing guided by acuity of illness for diagnosis of neurodevelopmental disorders	Sci Transl Med	2014	6(265)	265ra168	25473036	F	T	F	clinical.use
Molparia B, Pham PH, Torkamani A	Symptom-driven idiopathic disease gene identification	Genet Med	2015	17(11)	859-65	25590976	F	T	F	clinical.use
Fu X, Batista-Navarro R, Rak R, Ananiadou S	Supporting the annotation of chronic obstructive pulmonary disease (COPD) phenotypes with text mining workflows	J Biomed Semantics	2015	6	8	25789153	F	T	F	clinical.use
Hoehndorf R, Schofield PN, Gkoutos GV	The role of ontologies in biological and biomedical research: a functional perspective	Brief Bioinform	2015	16(6)	1069-80	25863278	F	T	F	review
Willig LK, Petrikin JE, Smith LD, Saunders CJ, Thiffault I, Miller NA, Soden SE, Cakici JA, Herd SM, Twist G, Noll A, Creed M, Alba PM, Carpenter SL, Clements MA, Fischer RT, Hays JA, Kilbride H, McDonough RJ, Rosterman JL, Tsai SL, Zellmer L, Farrow EG, Kingsmore SF	Whole-genome sequencing for identification of Mendelian disorders in critically ill infants: a retrospective analysis of diagnostic and clinical findings	Lancet Respir Med	2015	3(5)	377-87	25937001	F	T	F	clinical.use
Yang H, Robinson PN, Wang K	Phenolyzer: phenotype-based prioritization of candidate genes for human diseases	Nat Methods	2015	12(9)	841-3	26192085	T	T	F	phenogeno.algorithm
Smedley D, Robinson PN	Phenotype-driven strategies for exome prioritization of human Mendelian disease genes	Genome Med	2015	7(1)	81	26229552	T	T	F	review
Buske OJ, Girdea M, Dumitriu S, Gallinger B, Hartley T, Trang H, Misyura A, Friedman T, Beaulieu C, Bone WP, Links AE, Washington NL, Haendel MA, Robinson PN, Boerkoel CF, Adams D, Gahl WA, Boycott KM, Brudno M	PhenomeCentral: a portal for phenotypic and genotypic matchmaking of patients with rare genetic diseases	Hum Mutat	2015	36(10)	931-40	26251998	T	T	F	resource
Antanaviciute A, Watson CM, Harrison SM, Lascelles C, Crinnion L, Markham AF, Bonthron DT, Carr IM	OVA: integrating molecular and physical phenotype data from multiple biomedical domain ontologies with variant filtering for enhanced variant prioritization	Bioinformatics	2015	31(23)	3822-9	26272982	F	T	F	phenogeno.algorithm
Oellrich A, Collier N, Groza T, Rebholz-Schuhmann D, Shah N, Bodenreider O, Boland MR, Georgiev I, Liu H, Livingston K, Luna A, Mallon AM, Manda P, Robinson PN, Rustici G, Simon M, Wang L, Winnenburg R, Dumontier M	The digital revolution in phenotyping	Brief Bioinform	2016	17(5)	819-30	26420780	T	T	F	review
Foong J, Girdea M, Stavropoulos J, Brudno M	Prioritizing Clinically Relevant Copy Number Variation from Genetic Interactions and Gene Function Data	PLoS One	2015	10(10)	e0139656	26437450	F	T	F	phenogeno.algorithm
Svenstrup D, Jørgensen HL, Winther O	Rare disease diagnosis: A review of web search, social media and large-scale data-mining approaches	Rare Dis	2015	3(1)	e1083145	26442199	F	T	F	review
Gazzo AM, Daneels D, Cilia E, Bonduelle M, Abramowicz M, Van Dooren S, Smits G, Lenaerts T	DIDA: A curated and annotated digenic diseases database	Nucleic Acids Res	2016	44(D1)	D900-7	26481352	F	T	F	resource
Petrikin JE, Willig LK, Smith LD, Kingsmore SF	Rapid whole genome sequencing and precision neonatology	Semin Perinatol	2015	39(8)	623-31	26521050	F	T	F	review
Smith LD, Willig LK, Kingsmore SF	Whole-Exome Sequencing and Whole-Genome Sequencing in Critically Ill Neonates Suspected to Have Single-Gene Disorders	Cold Spring Harb Perspect Med	2015	6(2)	a023168	26684335	F	T	F	clinical.use
Greene D; NIHR BioResource, Richardson S, Turro E	Phenotype Similarity Regression for Identifying the Genetic Determinants of Rare Diseases	Am J Hum Genet	2016	98(3)	490-499	26924528	F	T	F	phenogeno.algorithm
Dunn SL, Soul J, Anand S, Schwartz JM, Boot-Handford RP, Hardingham TE	Gene expression changes in damaged osteoarthritic cartilage identify a signature of non-chondrogenic and mechanical responses	Osteoarthritis Cartilage	2016	24(8)	1431-40	26973327	F	T	F	systems.bio.algorithm
Kunwar F, Pandya V, Bakshi SR	Constitutional Mosaic Trisomy 13 in Two Germ Cell Layers is Different from Patau Syndrome? A Case Report	J Clin Diagn Res	2016	10(3)	GD03-5	27134897	F	T	F	clinical.use
Robinson PN, Mungall CJ, Haendel M	Capturing phenotypes for precision medicine	Cold Spring Harb Mol Case Stud	2015	1(1)	a000372	27148566	T	T	F	review
Pangalos C, Hagnefelt B, Lilakos K, Konialis C	First applications of a targeted exome sequencing approach in fetuses with ultrasound abnormalities reveals an important fraction of cases with associated gene defects	PeerJ	2016	4	e1955	27168972	F	T	F	clinical.use
Masica DL, Karchin R	Towards Increasing the Clinical Relevance of In Silico Methods to Predict Pathogenic Missense Variants	PLoS Comput Biol	2016	12(5)	e1004725	27171182	F	T	F	phenogeno.algorithm
Kunwar F, Bakshi SR	Familial Constitutional Rearrangement of Chromosomes 4 &amp; 8: Phenotypically Normal Mother and Abnormal Progeny	J Clin Diagn Res	2016	10(4)	GD01-4	27190830	F	T	F	clinical.use
Quintáns B, Ordóñez-Ugalde A, Cacheiro P, Carracedo A, Sobrido MJ	Medical genomics: The intricate path from genetic variant identification to clinical interpretation	Appl Transl Genom	2014	3(3)	60-7	27284505	F	T	F	review
Mueller T, Jerrentrup A, Bauer MJ, Fritsch HW, Schaefer JR	Characteristics of patients contacting a center for undiagnosed and rare diseases	Orphanet J Rare Dis	2016	11(1)	81	27328799	F	T	F	review
Alves R, Piñol M, Vilaplana J, Teixidó I, Cruz J, Comas J, Vilaprinyo E, Sorribas A, Solsona F	Computer-assisted initial diagnosis of rare diseases	PeerJ	2016	4	e2211	27547534	F	T	F	review
Li P, Nie Y, Yu J	Fusing literature and full network data improves disease similarity computation	BMC Bioinformatics	2016	17(1)	326	27578323	F	T	F	systems.bio.algorithm
Redin C, Brand H, Collins RL, Kammin T, Mitchell E, Hodge JC, Hanscom C, Pillalamarri V, Seabra CM, Abbott MA, Abdul-Rahman OA, Aberg E, Adley R, Alcaraz-Estrada SL, Alkuraya FS, An Y, Anderson MA, Antolik C, Anyane-Yeboa K, Atkin JF, Bartell T, Bernstein JA, Beyer E, Blumenthal I, Bongers EM, Brilstra EH, Brown CW, Brüggenwirth HT, Callewaert B, Chiang C, Corning K, Cox H, Cuppen E, Currall BB, Cushing T, David D, Deardorff MA, Dheedene A, D'Hooghe M, de Vries BB, Earl DL, Ferguson HL, Fisher H, FitzPatrick DR, Gerrol P, Giachino D, Glessner JT, Gliem T, Grady M, Graham BH, Griffis C, Gripp KW, Gropman AL, Hanson-Kahn A, Harris DJ, Hayden MA, Hill R, Hochstenbach R, Hoffman JD, Hopkin RJ, Hubshman MW, Innes AM, Irons M, Irving M, Jacobsen JC, Janssens S, Jewett T, Johnson JP, Jongmans MC, Kahler SG, Koolen DA, Korzelius J, Kroisel PM, Lacassie Y, Lawless W, Lemyre E, Leppig K, Levin AV, Li H, Li H, Liao EC, Lim C, Lose EJ, Lucente D, Macera MJ, Manavalan P, Mandrile G, Marcelis CL, Margolin L, Mason T, Masser-Frye D, McClellan MW, Mendoza CJ, Menten B, Middelkamp S, Mikami LR, Moe E, Mohammed S, Mononen T, Mortenson ME, Moya G, Nieuwint AW, Ordulu Z, Parkash S, Pauker SP, Pereira S, Perrin D, Phelan K, Aguilar RE, Poddighe PJ, Pregno G, Raskin S, Reis L, Rhead W, Rita D, Renkens I, Roelens F, Ruliera J, Rump P, Schilit SL, Shaheen R, Sparkes R, Spiegel E, Stevens B, Stone MR, Tagoe J, Thakuria JV, van Bon BW, van de Kamp J, van Der Burgt I, van Essen T, van Ravenswaaij-Arts CM, van Roosmalen MJ, Vergult S, Volker-Touw CM, Warburton DP, Waterman MJ, Wiley S, Wilson A, Yerena-de Vega MC, Zori RT, Levy B, Brunner HG, de Leeuw N, Kloosterman WP, Thorland EC, Morton CC, Gusella JF, Talkowski ME	The genomic landscape of balanced cytogenetic abnormalities associated with human congenital anomalies	Nat Genet	2017	49(1)	36-45	27841880	F	T	F	clinical.use
Köhler S, Vasilevsky NA, Engelstad M, Foster E, McMurry J, Aymé S, Baynam G, Bello SM, Boerkoel CF, Boycott KM, Brudno M, Buske OJ, Chinnery PF, Cipriani V, Connell LE, Dawkins HJ, DeMare LE, Devereau AD, de Vries BB, Firth HV, Freson K, Greene D, Hamosh A, Helbig I, Hum C, Jähn JA, James R, Krause R, F Laulederkind SJ, Lochmüller H, Lyon GJ, Ogishima S, Olry A, Ouwehand WH, Pontikos N, Rath A, Schaefer F, Scott RH, Segal M, Sergouniotis PI, Sever R, Smith CL, Straub V, Thompson R, Turner C, Turro E, Veltman MW, Vulliamy T, Yu J, von Ziegenweidt J, Zankl A, Züchner S, Zemojtel T, Jacobsen JO, Groza T, Smedley D, Mungall CJ, Haendel M, Robinson PN	The Human Phenotype Ontology in 2017	Nucleic Acids Res	2017	45(D1)	D865-D876	27899602	T	T	F	resource
Godard P, Page M	PCAN: phenotype consensus analysis to support disease-gene association	BMC Bioinformatics	2016	17(1)	518	27923364	F	T	F	phenogeno.algorithm
Rahman J, Noronha A, Thiele I, Rahman S	Leigh map: A novel computational diagnostic resource for mitochondrial disease	Ann Neurol	2017	81(1)	9-16	27977873	F	T	F	resource
Deciphering Developmental Disorders Study	Prevalence and architecture of de novo mutations in developmental disorders	Nature	2017	542(7642)	433-438	28135719	F	T	F	clinical.use
Dhombres F, Maurice P, Friszer S, Guilbaud L, Lelong N, Khoshnood B, Charlet J, Perrot N, Jauniaux E, Jurkovic D, Jouannic JM	Developing a knowledge base to support the annotation of ultrasound images of ectopic pregnancy	J Biomed Semantics	2017	8(1)	4	28137311	F	T	F	resource
Kulmanov M, Hoehndorf R	Evaluating the effect of annotation size on measures of semantic similarity	J Biomed Semantics	2017	8(1)	7	28193260	F	T	F	review
Jones MC, Topol SE, Rueda M, Oliveira G, Phillips T, Spencer EG, Torkamani A	Mutation of WIF1: a potential novel cause of a Nail-Patella-like disorder	Genet Med	2017	19(10)	1179-1183	28383544	F	T	F	clinical.use
Zaman S, Sarntivijai S, Abernethy DR	Use of Biomedical Ontologies for Integration of Biological Knowledge for Learning and Prediction of Adverse Drug Reactions	Gene Regul Syst Bio	2017	11	1177625017696075	28469412	F	T	F	review
Pal LR, Kundu K, Yin Y, Moult J	CAGI4 SickKids clinical genomes challenge: A pipeline for identifying pathogenic variants	Hum Mutat	2017	38(9)	1169-1181	28512736	F	T	F	review
Lee JJY, Wasserman WW, Hoffmann GF, van Karnebeek CDM, Blau N	Knowledge base and mini-expert platform for the diagnosis of inborn errors of metabolism	Genet Med	2018	20(1)	151-158	28726811	F	T	F	resource
Stark Z, Dashnow H, Lunke S, Tan TY, Yeung A, Sadedin S, Thorne N, Macciocca I, Gaff C; Melbourne Genomics Health Alliance, Oshlack A, White SM, James PA	A clinically driven variant prioritization framework outperforms purely computational approaches for the diagnostic analysis of singleton WES data	Eur J Hum Genet	2017	25(11)	1268-1272	28832562	F	T	F	clinical.use
Raza S, Hall A	Genomic medicine and data sharing	Br Med Bull	2017	123(1)	35-45	28910995	F	T	F	review
Pengelly RJ, Alom T, Zhang Z, Hunt D, Ennis S, Collins A	Evaluating phenotype-driven approaches for genetic diagnoses from exomes in a clinical setting	Sci Rep	2017	7(1)	13509	29044180	F	T	F	phenogeno.algorithm
Lobo M, Lamurias A, Couto FM	Identifying Human Phenotype Terms by Combining Machine Learning and Validation Rules	Biomed Res Int	2017	2017	8565739	29250549	F	T	F	resource
Rodríguez-García MÁ, Hoehndorf R	Inferring ontology graph structures using OWL reasoning	BMC Bioinformatics	2018	19(1)	7	29304741	F	T	F	resource
Zepeda-Mendoza CJ, Bardon A, Kammin T, Harris DJ, Cox H, Redin C, Ordulu Z, Talkowski ME, Morton CC	Phenotypic interpretation of complex chromosomal rearrangements informed by nucleotide-level resolution and structural organization of chromatin	Eur J Hum Genet	2018	26(3)	374-381	29321672	F	T	F	clinical.use
Lee JJY, Gottlieb MM, Lever J, Jones SJM, Blau N, van Karnebeek CDM, Wasserman WW	Text-based phenotypic profiles incorporating biochemical phenotypes of inborn errors of metabolism improve phenomics-based diagnosis	J Inherit Metab Dis	2018	41(3)	555-562	29340838	F	T	F	clinical.use;phenogeno.algorithm
Petrikin JE, Cakici JA, Clark MM, Willig LK, Sweeney NM, Farrow EG, Saunders CJ, Thiffault I, Miller NA, Zellmer L, Herd SM, Holmes AM, Batalov S, Veeraraghavan N, Smith LD, Dimmock DP, Leeder JS, Kingsmore SF	The NSIGHT1-randomized controlled trial: rapid whole-genome sequencing for accelerated etiologic diagnosis in critically ill infants	NPJ Genom Med	2018	3	6	29449963	F	T	F	clinical.use
Vasilevsky NA, Foster ED, Engelstad ME, Carmody L, Might M, Chambers C, Dawkins HJS, Lewis J, Della Rocca MG, Snyder M, Boerkoel CF, Rath A, Terry SF, Kent A, Searle B, Baynam G, Jones E, Gavin P, Bamshad M, Chong J, Groza T, Adams D, Resnick AC, Heath AP, Mungall C, Holm IA, Rageth K, Brownstein CA, Shefchek K, McMurry JA, Robinson PN, Köhler S, Haendel MA	Plain-language medical vocabulary for precision diagnosis	Nat Genet	2018	50(4)	474-476	29632381	T	T	F	resource
Bueno A, Rodríguez-López R, Reyes-Palomares A, Rojano E, Corpas M, Nevado J, Lapunzina P, Sánchez-Jiménez F, Ranea JAG	Phenotype-loci associations in networks of patients with rare disorders: application to assist in the diagnosis of novel clinical cases	Eur J Hum Genet	2018	26(10)	1451-1461	29946186	F	T	F	phenogeno.algorithm
Rao A, Vg S, Joseph T, Kotte S, Sivadasan N, Srinivasan R	Phenotype-driven gene prioritization for rare diseases using graph convolution on heterogeneous networks	BMC Med Genomics	2018	11(1)	57	29980210	F	T	F	phenogeno.algorithm
Fujiwara T, Yamamoto Y, Kim JD, Buske O, Takagi T	PubCaseFinder: A Case-Report-Based, Phenotype-Driven Differential-Diagnosis System for Rare Diseases	Am J Hum Genet	2018	103(3)	389-399	30173820	F	T	F	phenogeno.algorithm
Normand EA, Braxton A, Nassef S, Ward PA, Vetrini F, He W, Patel V, Qu C, Westerfield LE, Stover S, Dharmadhikari AV, Muzny DM, Gibbs RA, Dai H, Meng L, Wang X, Xiao R, Liu P, Bi W, Xia F, Walkiewicz M, Van den Veyver IB, Eng CM, Yang Y	Clinical exome sequencing for fetuses with ultrasound abnormalities and a suspected Mendelian disorder	Genome Med	2018	10(1)	74	30266093	F	T	F	clinical.use
Peng J, Xue H, Hui W, Lu J, Chen B, Jiang Q, Shang X, Wang Y	An online tool for measuring and visualizing phenotype similarities using HPO	BMC Genomics	2018	19(Suppl 6)	571	30367579	F	T	F	resource;phenogeno.algorithm
Alshahrani M, Hoehndorf R	Semantic Disease Gene Embeddings (SmuDGE): phenotype-based disease gene prioritization without phenotypes	Bioinformatics	2018	34(17)	i901-i907	30423077	F	T	F	resource;phenogeno.algorithm
Lee JJY, van Karnebeek CDM, Wasserman WW	Development and user evaluation of a rare disease gene prioritization workflow based on cognitive ergonomics	J Am Med Inform Assoc	2019	26(2)	124-133	30535356	F	T	F	resource;phenogeno.algorithm
Robinson PN, Mundlos S	The human phenotype ontology	Clin Genet	2010	77(6)	525-34	20412080	T	T	F	review
Reese MG, Moore B, Batchelor C, Salas F, Cunningham F, Marth GT, Stein L, Flicek P, Yandell M, Eilbeck K	A standard variation file format for human genome sequences	Genome Biol	2010	11(8)	R88	20796305	F	T	F	resource
Biesecker LG	An introduction to standardized clinical nomenclature for dysmorphic features: the Elements of Morphology project	BMC Med	2010	8	56	20920337	F	T	F	resource
Reimand J, Arak T, Vilo J	g:Profiler--a web server for functional interpretation of gene lists (2011 update)	Nucleic Acids Res	2011	39(Web Server issue)	W307-15	21646343	F	T	F	resource
de Bono B, Hoehndorf R, Wimalaratne S, Gkoutos G, Grenon P	The RICORDO approach to semantic interoperability for biomedical data and models: strategy, standards and solutions	BMC Res Notes	2011	4	313	21878109	F	T	F	review
Schriml LM, Arze C, Nadendla S, Chang YW, Mazaitis M, Felix V, Feng G, Kibbe WA	Disease Ontology: a backbone for disease semantic integration	Nucleic Acids Res	2012	40(Database issue)	D940-6	22080554	F	T	F	resource
Luu TD, Rusu AM, Walter V, Ripp R, Moulinier L, Muller J, Toursel T, Thompson JD, Poch O, Nguyen H	MSV3d: database of human MisSense Variants mapped to 3D protein structure	Database (Oxford)	2012	2012	bas018	22491796	F	T	F	resource
Shimoyama M, Nigam R, McIntosh LS, Nagarajan R, Rice T, Rao DC, Dwinell MR	Three ontologies to define phenotype measurement data	Front Genet	2012	3	87	22654893	F	T	F	resource
Hwang T, Atluri G, Xie M, Dey S, Hong C, Kumar V, Kuang R	Co-clustering phenome-genome for phenotype classification and disease gene discovery	Nucleic Acids Res	2012	40(19)	e146	22735708	F	T	F	phenogeno.algorithm
Andrade AQ, Blondé W, Hastings J, Schulz S	Process attributes in bio-ontologies	BMC Bioinformatics	2012	13	217	22928880	F	T	F	review
